loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,date,loan_status,zip_code,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,recoveries,collection_recovery_fee,collections_12_mths_ex_med,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,total_bal_il,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
35000.0, 36 months,11.99,1162.34,C,1 year,MORTGAGE,160000.0,Source Verified,2016-04-01,Fully Paid,272xx,11.0,0.0,675.0,679.0,2.0,20.0,1.0,12869.0,41.6,53.0,0.0,0.0,0.0,Individual,0.0,535.0,368922.0,6.0,3.0,1.0,2.0,38460.0,4.0,8.0,3006.0,59.0,30900.0,1.0,2.0,5.0,12.0,20496.0,0.0,0.0,218.0,1.0,1.0,4.0,4.0,3.0,7.0,4.0,13.0,11.0,16.0,38.0,7.0,20.0,0.0,0.0,7.0,84.6,0.0,0.0,405121.0,51329.0,10500.0,55728.0
5000.0, 36 months,17.99,180.74,D,10+ years,RENT,87000.0,Verified,2016-10-01,Fully Paid,463xx,32.91,0.0,710.0,714.0,0.0,17.0,0.0,23712.0,67.6,38.0,0.0,0.0,0.0,Individual,0.0,0.0,82787.0,2.0,8.0,5.0,7.0,59075.0,1.0,1.0,6779.0,69.0,35100.0,1.0,12.0,1.0,8.0,5519.0,0.0,0.0,143.0,12.0,2.0,0.0,0.0,4.0,6.0,5.0,6.0,24.0,9.0,14.0,6.0,17.0,0.0,0.0,6.0,100.0,0.0,0.0,119848.0,82787.0,21400.0,84748.0
16000.0, 60 months,20.99,432.77,E,10+ years,MORTGAGE,51000.0,Source Verified,2016-06-01,Fully Paid,460xx,31.39,1.0,690.0,694.0,1.0,15.0,3.0,10822.0,43.5,41.0,0.0,0.0,0.0,Individual,0.0,0.0,120153.0,2.0,4.0,1.0,7.0,29790.0,2.0,5.0,2932.0,65.0,24900.0,5.0,11.0,4.0,12.0,8010.0,0.0,0.0,132.0,5.0,5.0,2.0,1.0,3.0,7.0,4.0,7.0,22.0,10.0,17.0,7.0,15.0,0.0,0.0,3.0,92.5,1.0,2.0,164162.0,40612.0,8200.0,37762.0
28000.0, 36 months,12.74,939.93,C,2 years,RENT,110000.0,Not Verified,2016-10-01,Fully Paid,750xx,22.02,0.0,710.0,714.0,0.0,14.0,1.0,26766.0,51.4,25.0,0.0,0.0,0.0,Individual,0.0,0.0,64832.0,2.0,3.0,1.0,1.0,38066.0,1.0,3.0,6950.0,55.0,52100.0,2.0,0.0,2.0,4.0,4631.0,0.0,0.0,175.0,2.0,1.0,0.0,0.0,7.0,9.0,8.0,11.0,6.0,11.0,19.0,9.0,14.0,0.0,0.0,2.0,100.0,1.0,0.0,119038.0,64832.0,43600.0,66938.0
15000.0, 36 months,12.61,502.6,C,4 years,RENT,190000.0,Not Verified,2018-03-01,Fully Paid,170xx,13.23,0.0,735.0,739.0,1.0,19.0,0.0,22298.0,15.7,52.0,0.0,0.0,0.0,Individual,0.0,0.0,199683.0,2.0,4.0,3.0,4.0,90353.0,2.0,3.0,15292.0,47.0,141700.0,3.0,2.0,6.0,8.0,11094.0,0.0,0.0,328.0,3.0,3.0,4.0,0.0,5.0,5.0,9.0,16.0,24.0,14.0,24.0,5.0,19.0,0.0,0.0,5.0,100.0,0.0,0.0,329467.0,112651.0,111200.0,98667.0
10000.0, 36 months,17.27,357.88,D,4 years,RENT,50000.0,Source Verified,2016-03-01,Fully Paid,100xx,37.21,0.0,680.0,684.0,1.0,13.0,0.0,7074.0,53.6,53.0,0.0,0.0,0.0,Individual,0.0,0.0,147560.0,1.0,4.0,1.0,1.0,140486.0,1.0,1.0,987.0,83.0,13200.0,1.0,0.0,2.0,2.0,11351.0,0.0,0.0,100.0,2.0,2.0,0.0,0.0,4.0,9.0,4.0,6.0,41.0,9.0,12.0,9.0,13.0,0.0,0.0,2.0,100.0,0.0,0.0,156155.0,147560.0,4400.0,142955.0
6000.0, 36 months,13.59,203.88,C,< 1 year,MORTGAGE,80000.0,Source Verified,2017-08-01,Fully Paid,486xx,32.01,1.0,690.0,694.0,2.0,13.0,0.0,13382.0,67.6,23.0,0.0,0.0,0.0,Individual,0.0,0.0,93737.0,1.0,4.0,0.0,1.0,80355.0,1.0,3.0,2629.0,64.0,19800.0,1.0,6.0,2.0,4.0,7211.0,0.0,0.0,216.0,5.0,5.0,0.0,0.0,2.0,5.0,2.0,3.0,9.0,9.0,14.0,5.0,13.0,0.0,0.0,1.0,91.3,0.0,0.0,155824.0,93737.0,4500.0,136024.0
5000.0, 36 months,12.88,168.19,C,2 years,RENT,65500.0,Source Verified,2016-01-01,Fully Paid,809xx,5.62,3.0,665.0,669.0,0.0,4.0,1.0,1350.0,7.3,13.0,0.0,0.0,0.0,Individual,0.0,431.0,13284.0,0.0,1.0,0.0,0.0,11934.0,0.0,1.0,0.0,38.0,18400.0,1.0,0.0,3.0,1.0,3321.0,0.0,0.0,170.0,24.0,24.0,1.0,2.0,0.0,1.0,1.0,1.0,7.0,3.0,5.0,1.0,4.0,0.0,0.0,0.0,61.5,1.0,0.0,35252.0,13284.0,16600.0,16852.0
15000.0, 36 months,21.18,566.52,E,10+ years,RENT,74500.0,Not Verified,2016-02-01,Charged Off,086xx,47.83,0.0,675.0,679.0,0.0,12.0,0.0,29875.0,71.6,20.0,762.0,137.16,0.0,Individual,0.0,0.0,76538.0,1.0,5.0,1.0,2.0,46663.0,1.0,1.0,6895.0,63.0,41700.0,0.0,1.0,0.0,3.0,6378.0,0.0,0.0,206.0,9.0,6.0,0.0,0.0,6.0,6.0,6.0,6.0,12.0,7.0,8.0,6.0,12.0,0.0,0.0,2.0,100.0,0.0,0.0,122414.0,76538.0,39800.0,80714.0
22150.0, 36 months,14.99,767.73,C,10+ years,RENT,125000.0,Source Verified,2016-12-01,Charged Off,333xx,5.4,0.0,685.0,689.0,0.0,13.0,0.0,10328.0,31.4,17.0,2301.99,414.3582,0.0,Individual,0.0,2357.0,12964.0,2.0,1.0,0.0,0.0,2601.0,3.0,8.0,5050.0,27.0,32900.0,0.0,0.0,0.0,9.0,997.0,0.0,0.0,54.0,3.0,3.0,0.0,0.0,4.0,7.0,5.0,5.0,4.0,11.0,12.0,7.0,13.0,0.0,0.0,4.0,100.0,0.0,0.0,47665.0,12964.0,16900.0,10404.0
15000.0, 36 months,7.07,463.64,A,10+ years,MORTGAGE,90000.0,Not Verified,2017-06-01,Fully Paid,415xx,18.75,0.0,790.0,794.0,1.0,10.0,0.0,16902.0,23.9,21.0,0.0,0.0,0.0,Individual,0.0,0.0,105407.0,1.0,2.0,1.0,3.0,43904.0,1.0,2.0,5868.0,53.0,98400.0,0.0,0.0,4.0,5.0,10541.0,0.0,0.0,334.0,9.0,6.0,1.0,0.0,4.0,7.0,4.0,6.0,9.0,7.0,11.0,7.0,10.0,0.0,0.0,2.0,100.0,0.0,0.0,212776.0,60806.0,44400.0,50136.0
3000.0, 36 months,7.49,93.31,A,7 years,RENT,65000.0,Source Verified,2016-12-01,Fully Paid,900xx,13.26,0.0,700.0,704.0,0.0,8.0,1.0,6018.0,34.8,13.0,0.0,0.0,0.0,Individual,0.0,0.0,39849.0,1.0,2.0,1.0,2.0,33831.0,0.0,4.0,6018.0,77.0,17300.0,0.0,0.0,0.0,6.0,5693.0,0.0,0.0,169.0,18.0,5.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,6.0,9.0,1.0,8.0,0.0,0.0,1.0,100.0,1.0,0.0,51495.0,39849.0,15100.0,34195.0
26775.0, 60 months,27.79,830.28,F,2 years,MORTGAGE,86000.0,Verified,2016-07-01,Charged Off,480xx,23.99,3.0,685.0,689.0,3.0,15.0,0.0,14233.0,69.0,29.0,12879.46,1786.4964,0.0,Individual,0.0,0.0,159785.0,2.0,3.0,1.0,1.0,50139.0,5.0,9.0,4283.0,69.0,20750.0,0.0,1.0,6.0,10.0,10652.0,0.0,0.0,157.0,2.0,2.0,2.0,4.0,7.0,10.0,10.0,10.0,10.0,10.0,17.0,9.0,15.0,0.0,1.0,6.0,79.0,0.0,0.0,241184.0,64372.0,16550.0,58116.0
10000.0, 36 months,18.06,361.83,D,< 1 year,RENT,38000.0,Source Verified,2017-09-01,Charged Off,945xx,16.49,0.0,700.0,704.0,0.0,4.0,0.0,14998.0,97.4,4.0,0.0,0.0,0.0,Individual,0.0,0.0,19292.0,0.0,1.0,0.0,0.0,4294.0,0.0,1.0,6964.0,78.0,15400.0,0.0,1.0,0.0,1.0,4823.0,0.0,0.0,49.0,14.0,14.0,0.0,0.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,24828.0,19292.0,15400.0,9428.0
35000.0, 36 months,14.46,1204.06,C,10+ years,MORTGAGE,75000.0,Verified,2016-03-01,Fully Paid,238xx,18.9,0.0,700.0,704.0,0.0,8.0,0.0,28608.0,87.0,33.0,0.0,0.0,0.0,Individual,0.0,0.0,155565.0,0.0,1.0,0.0,0.0,5049.0,2.0,4.0,9672.0,87.0,32900.0,0.0,0.0,1.0,4.0,19446.0,0.0,0.0,175.0,9.0,9.0,2.0,0.0,5.0,6.0,5.0,14.0,9.0,6.0,22.0,6.0,8.0,0.0,0.0,2.0,100.0,0.0,0.0,203920.0,33657.0,29200.0,39443.0
36000.0, 36 months,15.05,1248.84,C,10+ years,OWN,98000.0,Source Verified,2017-05-01,Charged Off,028xx,12.93,0.0,690.0,694.0,0.0,12.0,0.0,37346.0,62.0,41.0,5233.07,941.9526,0.0,Individual,0.0,0.0,51812.0,1.0,1.0,0.0,1.0,14466.0,3.0,8.0,11558.0,59.0,60200.0,0.0,3.0,2.0,11.0,4710.0,0.0,0.0,184.0,4.0,4.0,5.0,1.0,7.0,8.0,9.0,24.0,8.0,11.0,28.0,8.0,12.0,0.0,0.0,3.0,97.6,0.0,0.0,88066.0,51812.0,55200.0,27866.0
16000.0, 36 months,9.16,509.99,B,5 years,OWN,50000.0,Source Verified,2016-03-01,Charged Off,648xx,17.02,0.0,690.0,694.0,0.0,15.0,0.0,13335.0,46.5,35.0,0.0,0.0,0.0,Individual,0.0,0.0,93141.0,1.0,5.0,1.0,1.0,22729.0,1.0,3.0,4992.0,63.0,28700.0,0.0,0.0,0.0,5.0,6653.0,0.0,0.0,116.0,3.0,3.0,4.0,0.0,3.0,4.0,5.0,9.0,14.0,9.0,17.0,4.0,15.0,0.0,0.0,3.0,94.1,0.0,0.0,116195.0,36064.0,25400.0,28995.0
11200.0, 60 months,13.99,260.55,C,4 years,OWN,57815.0,Source Verified,2016-10-01,Fully Paid,194xx,6.87,1.0,665.0,669.0,1.0,7.0,0.0,4984.0,56.6,18.0,0.0,0.0,0.0,Individual,0.0,0.0,262999.0,1.0,3.0,0.0,3.0,17155.0,1.0,1.0,4534.0,76.0,8800.0,1.0,0.0,1.0,6.0,37571.0,0.0,0.0,38.0,3.0,3.0,2.0,0.0,1.0,2.0,1.0,3.0,11.0,3.0,5.0,2.0,7.0,0.0,0.0,2.0,94.4,0.0,0.0,272916.0,22139.0,4500.0,20516.0
10000.0, 60 months,18.06,254.27,D,4 years,RENT,60000.0,Not Verified,2017-07-01,Fully Paid,836xx,14.3,0.0,670.0,674.0,0.0,6.0,1.0,3005.0,52.7,11.0,0.0,0.0,0.0,Individual,0.0,482.0,28857.0,0.0,2.0,2.0,3.0,25852.0,0.0,3.0,1383.0,82.0,5700.0,4.0,2.0,0.0,6.0,4810.0,0.0,0.0,125.0,22.0,9.0,0.0,0.0,4.0,4.0,4.0,5.0,6.0,4.0,5.0,4.0,6.0,0.0,0.0,2.0,100.0,0.0,1.0,35077.0,28857.0,5700.0,29377.0
40000.0, 60 months,15.59,964.03,C,< 1 year,MORTGAGE,220000.0,Verified,2016-10-01,Fully Paid,114xx,10.88,0.0,715.0,719.0,2.0,19.0,0.0,43437.0,13.3,45.0,0.0,0.0,0.0,Individual,0.0,0.0,394526.0,2.0,3.0,1.0,3.0,29395.0,1.0,3.0,24661.0,27.0,185700.0,1.0,5.0,3.0,7.0,20765.0,0.0,0.0,151.0,2.0,2.0,4.0,0.0,5.0,8.0,9.0,13.0,12.0,14.0,28.0,8.0,19.0,0.0,0.0,3.0,100.0,0.0,0.0,558214.0,73480.0,141000.0,35551.0
1200.0, 36 months,12.99,40.43,C,5 years,MORTGAGE,100000.0,Source Verified,2016-04-01,Fully Paid,785xx,14.64,0.0,660.0,664.0,0.0,8.0,0.0,5708.0,96.7,19.0,0.0,0.0,0.0,Individual,0.0,0.0,66007.0,0.0,5.0,3.0,6.0,60299.0,1.0,1.0,2975.0,94.0,5900.0,2.0,1.0,2.0,7.0,8251.0,0.0,0.0,107.0,7.0,7.0,0.0,1.0,2.0,3.0,2.0,4.0,14.0,3.0,5.0,3.0,8.0,0.0,0.0,4.0,89.5,0.0,0.0,72931.0,66007.0,5300.0,67031.0
5000.0, 36 months,10.42,162.33,B,4 years,RENT,106000.0,Source Verified,2017-08-01,Fully Paid,221xx,2.51,0.0,660.0,664.0,1.0,6.0,0.0,3975.0,33.4,16.0,0.0,0.0,0.0,Individual,0.0,0.0,3975.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1588.0,33.0,11900.0,0.0,4.0,1.0,2.0,663.0,0.0,0.0,137.0,2.0,2.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,6.0,10.0,5.0,6.0,0.0,0.0,1.0,75.0,0.0,0.0,11900.0,3975.0,6900.0,0.0
35000.0, 60 months,7.89,707.84,A,10+ years,MORTGAGE,150000.0,Source Verified,2016-04-01,Fully Paid,070xx,6.86,0.0,710.0,714.0,0.0,17.0,1.0,32007.0,44.1,33.0,0.0,0.0,0.0,Individual,0.0,0.0,147322.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,17408.0,44.0,72500.0,2.0,0.0,0.0,5.0,10523.0,0.0,0.0,232.0,2.0,2.0,3.0,0.0,3.0,10.0,3.0,5.0,4.0,16.0,26.0,10.0,17.0,0.0,0.0,1.0,93.9,0.0,0.0,197400.0,32007.0,31300.0,0.0
20000.0, 60 months,21.18,543.1,E,3 years,RENT,70000.0,Verified,2016-03-01,Charged Off,023xx,11.95,0.0,660.0,664.0,0.0,11.0,0.0,11742.0,61.8,21.0,0.0,0.0,0.0,Individual,0.0,0.0,21611.0,1.0,1.0,0.0,0.0,9869.0,2.0,3.0,4179.0,65.0,19000.0,0.0,0.0,0.0,3.0,1965.0,0.0,0.0,89.0,3.0,3.0,0.0,0.0,3.0,9.0,4.0,8.0,3.0,10.0,18.0,9.0,11.0,0.0,0.0,2.0,95.2,0.0,0.0,33422.0,21611.0,8900.0,14422.0
16000.0, 60 months,15.05,381.06,C,8 years,MORTGAGE,60000.0,Source Verified,2017-06-01,Fully Paid,144xx,25.97,0.0,710.0,714.0,0.0,12.0,0.0,9999.0,45.9,28.0,0.0,0.0,0.0,Individual,0.0,0.0,81863.0,0.0,5.0,0.0,1.0,71864.0,0.0,1.0,3848.0,73.0,21800.0,1.0,1.0,1.0,2.0,6822.0,0.0,0.0,127.0,13.0,13.0,0.0,0.0,3.0,3.0,3.0,5.0,15.0,7.0,13.0,3.0,12.0,0.0,0.0,0.0,100.0,0.0,0.0,112729.0,81863.0,11600.0,90929.0
17975.0, 36 months,6.97,554.77,A,10+ years,MORTGAGE,68000.0,Source Verified,2016-02-01,Fully Paid,275xx,9.85,0.0,735.0,739.0,0.0,7.0,0.0,16216.0,64.3,17.0,0.0,0.0,0.0,Individual,0.0,0.0,227077.0,0.0,1.0,0.0,0.0,435.0,0.0,2.0,6684.0,57.0,25200.0,0.0,1.0,0.0,2.0,37846.0,0.0,0.0,157.0,16.0,16.0,4.0,0.0,3.0,4.0,3.0,5.0,1.0,5.0,12.0,4.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,255790.0,16651.0,18900.0,4100.0
8000.0, 36 months,7.49,248.82,A,10+ years,MORTGAGE,54000.0,Source Verified,2017-03-01,Fully Paid,182xx,34.51,0.0,765.0,769.0,0.0,16.0,0.0,29994.0,53.4,38.0,0.0,0.0,0.0,Individual,0.0,0.0,256308.0,0.0,4.0,0.0,2.0,58582.0,1.0,3.0,5118.0,54.0,56200.0,1.0,0.0,2.0,5.0,17087.0,0.0,0.0,138.0,12.0,12.0,3.0,0.0,1.0,2.0,6.0,10.0,17.0,11.0,18.0,2.0,16.0,0.0,0.0,1.0,100.0,0.0,0.0,320070.0,88576.0,27200.0,77870.0
10000.0, 36 months,6.08,304.59,A,10+ years,OWN,39000.0,Verified,2017-12-01,Fully Paid,030xx,18.25,0.0,735.0,739.0,0.0,8.0,0.0,7015.0,41.5,21.0,0.0,0.0,0.0,Joint App,0.0,0.0,198932.0,1.0,1.0,0.0,0.0,17001.0,1.0,1.0,2176.0,51.0,16900.0,1.0,4.0,3.0,1.0,28419.0,0.0,0.0,210.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,4.0,5.0,6.0,15.0,2.0,8.0,0.0,0.0,1.0,95.2,0.0,0.0,271328.0,24016.0,7700.0,30428.0
16000.0, 60 months,14.49,376.37,C,10+ years,MORTGAGE,60000.0,Not Verified,2016-07-01,Fully Paid,681xx,19.88,0.0,665.0,669.0,0.0,9.0,2.0,11685.0,67.2,24.0,0.0,0.0,0.0,Individual,0.0,273.0,218763.0,1.0,3.0,2.0,5.0,19370.0,0.0,1.0,2975.0,60.0,17400.0,1.0,10.0,0.0,7.0,24307.0,0.0,0.0,114.0,23.0,3.0,3.0,0.0,3.0,5.0,3.0,4.0,14.0,5.0,7.0,5.0,9.0,0.0,0.0,3.0,100.0,0.0,0.0,242597.0,31055.0,11400.0,34696.0
25000.0, 36 months,9.75,803.75,B,10+ years,MORTGAGE,300000.0,Source Verified,2016-02-01,Fully Paid,605xx,11.55,0.0,725.0,729.0,0.0,10.0,0.0,133361.0,75.4,27.0,0.0,0.0,0.0,Individual,0.0,0.0,648998.0,1.0,3.0,1.0,2.0,78600.0,1.0,2.0,8955.0,75.0,141000.0,0.0,0.0,2.0,5.0,64900.0,0.0,0.0,173.0,7.0,4.0,4.0,0.0,3.0,5.0,3.0,6.0,10.0,5.0,13.0,5.0,10.0,0.0,0.0,2.0,100.0,0.0,0.0,715939.0,211961.0,21000.0,129340.0
