,loan_amnt,date,dti,zip_code,emp_length,date
3804537,10000.0,2016-10-31,-1%,761xx,< 1 year,2016-10-31
3432774,5000.0,2016-10-05,34.6%,072xx,< 1 year,2016-10-05
10693982,6000.0,2017-11-08,100%,029xx,< 1 year,2017-11-08
16340013,5000.0,2018-07-09,4.87%,070xx,4 years,2018-07-09
7308120,20000.0,2017-06-05,47.47%,471xx,< 1 year,2017-06-05
20382316,1500.0,2018-11-27,13.96%,730xx,< 1 year,2018-11-27
21312504,3000.0,2018-12-30,26.25%,945xx,< 1 year,2018-12-30
21333752,20000.0,2018-12-31,17.96%,483xx,< 1 year,2018-12-31
12176874,3000.0,2018-01-16,5.27%,436xx,< 1 year,2018-01-16
18241557,20000.0,2018-09-12,654.71%,844xx,< 1 year,2018-09-12
19275764,6500.0,2018-10-18,28.95%,305xx,< 1 year,2018-10-18
4032601,10000.0,2016-11-15,17.97%,284xx,< 1 year,2016-11-15
2784755,2000.0,2016-08-19,42.07%,934xx,< 1 year,2016-08-19
17888836,25000.0,2018-08-30,24.08%,751xx,< 1 year,2018-08-30
6706080,40000.0,2017-05-04,2.36%,201xx,8 years,2017-05-04
20545278,1000.0,2018-12-02,1.8%,100xx,< 1 year,2018-12-02
14150446,1000.0,2018-04-18,30.5%,113xx,< 1 year,2018-04-18
4541782,10000.0,2016-12-14,4.68%,913xx,5 years,2016-12-14
20091849,3000.0,2018-11-15,0.75%,438xx,< 1 year,2018-11-15
4209516,5000.0,2016-11-25,11.3%,339xx,< 1 year,2016-11-25
8634927,12000.0,2017-08-07,18.27%,282xx,< 1 year,2017-08-07
19422209,23000.0,2018-10-23,14.26%,652xx,< 1 year,2018-10-23
11812708,5000.0,2017-12-29,9.31%,672xx,< 1 year,2017-12-29
19698056,10000.0,2018-11-02,21.23%,760xx,< 1 year,2018-11-02
12133833,35000.0,2018-01-15,39.45%,401xx,< 1 year,2018-01-15
9071502,10000.0,2017-08-28,10.74%,454xx,< 1 year,2017-08-28
17735576,9000.0,2018-08-26,8.71%,064xx,< 1 year,2018-08-26
15315122,25000.0,2018-05-30,13.22%,900xx,< 1 year,2018-05-30
20936579,1000.0,2018-12-14,0%,365xx,1 year,2018-12-14
6699899,3500.0,2017-05-04,1.5%,600xx,5 years,2017-05-04
4495003,2500.0,2016-12-12,149.67%,956xx,< 1 year,2016-12-12
20028582,25000.0,2018-11-13,6.74%,913xx,< 1 year,2018-11-13
9464633,15000.0,2017-09-15,6.21%,730xx,< 1 year,2017-09-15
18902173,10000.0,2018-10-05,20.58%,906xx,< 1 year,2018-10-05
1143863,30000.0,2016-04-05,32.43%,300xx,< 1 year,2016-04-05
9914389,1500.0,2017-10-05,12.64%,452xx,< 1 year,2017-10-05
18931600,1000.0,2018-10-06,16.42%,181xx,< 1 year,2018-10-06
15705791,3000.0,2018-06-13,23.18%,310xx,< 1 year,2018-06-13
1928270,20000.0,2016-06-21,23.22%,014xx,< 1 year,2016-06-21
1499652,1200.0,2016-05-02,0.42%,606xx,< 1 year,2016-05-02
3356341,17500.0,2016-09-30,36.08%,321xx,< 1 year,2016-09-30
1559680,3000.0,2016-05-06,8.56%,494xx,< 1 year,2016-05-06
3077965,5000.0,2016-09-09,11.91%,358xx,< 1 year,2016-09-09
11622572,8000.0,2017-12-19,47.76%,760xx,< 1 year,2017-12-19
335542,5000.0,2016-02-01,5.97%,060xx,5 years,2016-02-01
8182182,15000.0,2017-07-18,67.28%,799xx,< 1 year,2017-07-18
13583955,2000.0,2018-03-25,0%,532xx,< 1 year,2018-03-25
2212877,3500.0,2016-07-08,37.31%,761xx,< 1 year,2016-07-08
3641603,3000.0,2016-10-19,26.19%,606xx,< 1 year,2016-10-19
19140655,5000.0,2018-10-14,1.14%,770xx,< 1 year,2018-10-14
